tick,node,drive,phase_tick,coherence,energy,phase
0,0,1,1,4,1,formation
0,1,0,1,0,0,free
0,2,0,1,0,0,free
0,3,0,1,0,0,free
0,4,0,1,0,0,free
0,5,0,1,0,0,free
0,6,0,1,0,0,free
0,7,0,1,0,0,free
0,8,0,1,0,0,free
0,9,0,1,0,0,free
0,10,0,1,0,0,free
0,11,0,1,0,0,free
0,12,0,1,0,0,free
0,13,0,1,0,0,free
0,14,0,1,0,0,free
0,15,0,1,0,0,free
0,16,0,1,0,0,free
0,17,0,1,0,0,free
0,18,0,1,0,0,free
0,19,0,1,0,0,free
0,20,0,1,0,0,free
0,21,0,1,0,0,free
0,22,0,1,0,0,free
0,23,0,1,0,0,free
0,24,0,1,0,0,free
0,25,0,1,0,0,free
0,26,0,1,0,0,free
0,27,0,1,0,0,free
0,28,0,1,0,0,free
0,29,1,1,4,1,formation
0,30,0,1,0,0,free
0,31,0,1,0,0,free
1,0,0,2,3,1,liftoff
1,1,0,2,0,0,free
1,2,0,2,0,0,free
1,3,0,2,0,0,free
1,4,0,2,0,0,free
1,5,0,2,0,0,free
1,6,0,2,0,0,free
1,7,0,2,0,0,free
1,8,0,2,0,0,free
1,9,0,2,0,0,free
1,10,0,2,0,0,free
1,11,0,2,0,0,free
1,12,0,2,0,0,free
1,13,0,2,0,0,free
1,14,0,2,0,0,free
1,15,0,2,0,0,free
1,16,0,2,0,0,free
1,17,0,2,0,0,free
1,18,0,2,0,0,free
1,19,0,2,0,0,free
1,20,0,2,0,0,free
1,21,0,2,0,0,free
1,22,0,2,0,0,free
1,23,0,2,0,0,free
1,24,0,2,0,0,free
1,25,0,2,0,0,free
1,26,0,2,0,0,free
1,27,0,2,0,0,free
1,28,1,2,4,1,formation
1,29,0,2,3,1,liftoff
1,30,0,2,0,0,free
1,31,0,2,0,0,free
2,0,0,3,2,1,liftoff
2,1,0,3,0,0,free
2,2,0,3,0,0,free
2,3,0,3,0,0,free
2,4,0,3,0,0,free
2,5,0,3,0,0,free
2,6,0,3,0,0,free
2,7,0,3,0,0,free
2,8,0,3,0,0,free
2,9,0,3,0,0,free
2,10,0,3,0,0,free
2,11,0,3,0,0,free
2,12,0,3,0,0,free
2,13,0,3,0,0,free
2,14,0,3,0,0,free
2,15,0,3,0,0,free
2,16,0,3,0,0,free
2,17,0,3,0,0,free
2,18,0,3,0,0,free
2,19,0,3,0,0,free
2,20,0,3,0,0,free
2,21,0,3,0,0,free
2,22,0,3,0,0,free
2,23,0,3,0,0,free
2,24,0,3,0,0,free
2,25,0,3,0,0,free
2,26,0,3,0,0,free
2,27,1,3,4,1,formation
2,28,0,3,3,1,liftoff
2,29,0,3,2,1,liftoff
2,30,0,3,0,0,free
2,31,0,3,0,0,free
3,0,0,4,1,1,liftoff
3,1,0,4,0,0,free
3,2,0,4,0,0,free
3,3,0,4,0,0,free
3,4,0,4,0,0,free
3,5,0,4,0,0,free
3,6,0,4,0,0,free
3,7,0,4,0,0,free
3,8,0,4,0,0,free
3,9,0,4,0,0,free
3,10,0,4,0,0,free
3,11,0,4,0,0,free
3,12,0,4,0,0,free
3,13,0,4,0,0,free
3,14,0,4,0,0,free
3,15,0,4,0,0,free
3,16,0,4,0,0,free
3,17,0,4,0,0,free
3,18,0,4,0,0,free
3,19,0,4,0,0,free
3,20,0,4,0,0,free
3,21,0,4,0,0,free
3,22,0,4,0,0,free
3,23,0,4,0,0,free
3,24,0,4,0,0,free
3,25,0,4,0,0,free
3,26,1,4,4,1,formation
3,27,0,4,3,1,liftoff
3,28,0,4,2,1,liftoff
3,29,0,4,1,1,liftoff
3,30,0,4,0,0,free
3,31,0,4,0,0,free
4,0,0,5,0,1,coherence
4,1,0,5,0,0,free
4,2,0,5,0,0,free
4,3,0,5,0,0,free
4,4,0,5,0,0,free
4,5,0,5,0,0,free
4,6,0,5,0,0,free
4,7,0,5,0,0,free
4,8,0,5,0,0,free
4,9,0,5,0,0,free
4,10,0,5,0,0,free
4,11,0,5,0,0,free
4,12,0,5,0,0,free
4,13,0,5,0,0,free
4,14,0,5,0,0,free
4,15,0,5,0,0,free
4,16,0,5,0,0,free
4,17,0,5,0,0,free
4,18,0,5,0,0,free
4,19,0,5,0,0,free
4,20,0,5,0,0,free
4,21,0,5,0,0,free
4,22,0,5,0,0,free
4,23,0,5,0,0,free
4,24,0,5,0,0,free
4,25,1,5,4,1,formation
4,26,0,5,3,1,liftoff
4,27,0,5,2,1,liftoff
4,28,0,5,1,1,liftoff
4,29,0,5,0,1,coherence
4,30,0,5,0,0,free
4,31,0,5,0,0,free
5,0,0,6,0,1,drift
5,1,0,6,0,0,free
5,2,0,6,0,0,free
5,3,0,6,0,0,free
5,4,0,6,0,0,free
5,5,0,6,0,0,free
5,6,0,6,0,0,free
5,7,0,6,0,0,free
5,8,0,6,0,0,free
5,9,0,6,0,0,free
5,10,0,6,0,0,free
5,11,0,6,0,0,free
5,12,0,6,0,0,free
5,13,0,6,0,0,free
5,14,0,6,0,0,free
5,15,0,6,0,0,free
5,16,0,6,0,0,free
5,17,0,6,0,0,free
5,18,0,6,0,0,free
5,19,0,6,0,0,free
5,20,0,6,0,0,free
5,21,0,6,0,0,free
5,22,0,6,0,0,free
5,23,0,6,0,0,free
5,24,1,6,4,1,formation
5,25,0,6,3,1,liftoff
5,26,0,6,2,1,liftoff
5,27,0,6,1,1,liftoff
5,28,0,6,0,1,coherence
5,29,0,6,0,1,drift
5,30,0,6,0,0,free
5,31,0,6,0,0,free
6,0,0,7,0,1,dissolution
6,1,0,7,0,0,free
6,2,0,7,0,0,free
6,3,0,7,0,0,free
6,4,0,7,0,0,free
6,5,0,7,0,0,free
6,6,0,7,0,0,free
6,7,0,7,0,0,free
6,8,0,7,0,0,free
6,9,0,7,0,0,free
6,10,0,7,0,0,free
6,11,0,7,0,0,free
6,12,0,7,0,0,free
6,13,0,7,0,0,free
6,14,0,7,0,0,free
6,15,0,7,0,0,free
6,16,0,7,0,0,free
6,17,0,7,0,0,free
6,18,0,7,0,0,free
6,19,0,7,0,0,free
6,20,0,7,0,0,free
6,21,0,7,0,0,free
6,22,0,7,0,0,free
6,23,1,7,4,1,formation
6,24,0,7,3,1,liftoff
6,25,0,7,2,1,liftoff
6,26,0,7,1,1,liftoff
6,27,0,7,0,1,coherence
6,28,0,7,0,1,drift
6,29,0,7,0,1,dissolution
6,30,0,7,0,0,free
6,31,0,7,0,0,free
7,0,0,8,0,0,free
7,1,0,8,0,0,free
7,2,0,8,0,0,free
7,3,0,8,0,0,free
7,4,0,8,0,0,free
7,5,0,8,0,0,free
7,6,0,8,0,0,free
7,7,0,8,0,0,free
7,8,0,8,0,0,free
7,9,0,8,0,0,free
7,10,0,8,0,0,free
7,11,0,8,0,0,free
7,12,0,8,0,0,free
7,13,0,8,0,0,free
7,14,0,8,0,0,free
7,15,0,8,0,0,free
7,16,0,8,0,0,free
7,17,0,8,0,0,free
7,18,0,8,0,0,free
7,19,0,8,0,0,free
7,20,0,8,0,0,free
7,21,0,8,0,0,free
7,22,1,8,4,1,formation
7,23,0,8,3,1,liftoff
7,24,0,8,2,1,liftoff
7,25,0,8,1,1,liftoff
7,26,0,8,0,1,coherence
7,27,0,8,0,1,drift
7,28,0,8,0,1,dissolution
7,29,0,8,0,0,free
7,30,0,8,0,0,free
7,31,0,8,0,0,free
8,0,0,9,0,0,free
8,1,0,9,0,0,free
8,2,0,9,0,0,free
8,3,0,9,0,0,free
8,4,0,9,0,0,free
8,5,0,9,0,0,free
8,6,0,9,0,0,free
8,7,0,9,0,0,free
8,8,0,9,0,0,free
8,9,0,9,0,0,free
8,10,0,9,0,0,free
8,11,0,9,0,0,free
8,12,0,9,0,0,free
8,13,0,9,0,0,free
8,14,0,9,0,0,free
8,15,0,9,0,0,free
8,16,0,9,0,0,free
8,17,0,9,0,0,free
8,18,0,9,0,0,free
8,19,0,9,0,0,free
8,20,0,9,0,0,free
8,21,1,9,4,1,formation
8,22,0,9,3,1,liftoff
8,23,0,9,2,1,liftoff
8,24,0,9,1,1,liftoff
8,25,0,9,0,1,coherence
8,26,0,9,0,1,drift
8,27,0,9,0,1,dissolution
8,28,0,9,0,0,free
8,29,0,9,0,0,free
8,30,0,9,0,0,free
8,31,0,9,0,0,free
9,0,0,10,0,0,free
9,1,0,10,0,0,free
9,2,0,10,0,0,free
9,3,0,10,0,0,free
9,4,0,10,0,0,free
9,5,0,10,0,0,free
9,6,0,10,0,0,free
9,7,0,10,0,0,free
9,8,0,10,0,0,free
9,9,0,10,0,0,free
9,10,0,10,0,0,free
9,11,0,10,0,0,free
9,12,0,10,0,0,free
9,13,0,10,0,0,free
9,14,0,10,0,0,free
9,15,0,10,0,0,free
9,16,0,10,0,0,free
9,17,0,10,0,0,free
9,18,0,10,0,0,free
9,19,0,10,0,0,free
9,20,1,10,4,1,formation
9,21,0,10,3,1,liftoff
9,22,0,10,2,1,liftoff
9,23,0,10,1,1,liftoff
9,24,0,10,0,1,coherence
9,25,0,10,0,1,drift
9,26,0,10,0,1,dissolution
9,27,0,10,0,0,free
9,28,0,10,0,0,free
9,29,0,10,0,0,free
9,30,0,10,0,0,free
9,31,0,10,0,0,free
10,0,0,11,0,0,free
10,1,0,11,0,0,free
10,2,0,11,0,0,free
10,3,0,11,0,0,free
10,4,0,11,0,0,free
10,5,0,11,0,0,free
10,6,0,11,0,0,free
10,7,0,11,0,0,free
10,8,0,11,0,0,free
10,9,0,11,0,0,free
10,10,0,11,0,0,free
10,11,0,11,0,0,free
10,12,0,11,0,0,free
10,13,0,11,0,0,free
10,14,0,11,0,0,free
10,15,0,11,0,0,free
10,16,0,11,0,0,free
10,17,0,11,0,0,free
10,18,0,11,0,0,free
10,19,1,11,4,1,formation
10,20,0,11,3,1,liftoff
10,21,0,11,2,1,liftoff
10,22,0,11,1,1,liftoff
10,23,0,11,0,1,coherence
10,24,0,11,0,1,drift
10,25,0,11,0,1,dissolution
10,26,0,11,0,0,free
10,27,0,11,0,0,free
10,28,0,11,0,0,free
10,29,0,11,0,0,free
10,30,0,11,0,0,free
10,31,0,11,0,0,free
11,0,0,12,0,0,free
11,1,0,12,0,0,free
11,2,0,12,0,0,free
11,3,0,12,0,0,free
11,4,0,12,0,0,free
11,5,0,12,0,0,free
11,6,0,12,0,0,free
11,7,0,12,0,0,free
11,8,0,12,0,0,free
11,9,0,12,0,0,free
11,10,0,12,0,0,free
11,11,0,12,0,0,free
11,12,0,12,0,0,free
11,13,0,12,0,0,free
11,14,0,12,0,0,free
11,15,0,12,0,0,free
11,16,0,12,0,0,free
11,17,0,12,0,0,free
11,18,1,12,4,1,formation
11,19,0,12,3,1,liftoff
11,20,0,12,2,1,liftoff
11,21,0,12,1,1,liftoff
11,22,0,12,0,1,coherence
11,23,0,12,0,1,drift
11,24,0,12,0,1,dissolution
11,25,0,12,0,0,free
11,26,0,12,0,0,free
11,27,0,12,0,0,free
11,28,0,12,0,0,free
11,29,0,12,0,0,free
11,30,0,12,0,0,free
11,31,0,12,0,0,free
