tick,node,drive,phase_tick,coherence,energy,phase,pathway
0,0,1,1,3,1,formation,depression_consumption
0,1,0,1,0,0,free,free_pool
0,2,0,1,0,0,free,free_pool
0,3,0,1,0,0,free,free_pool
0,4,0,1,0,0,free,free_pool
0,5,0,1,0,0,free,free_pool
0,6,0,1,0,0,free,free_pool
0,7,0,1,0,0,free,free_pool
0,8,0,1,0,0,free,free_pool
0,9,0,1,0,0,free,free_pool
0,10,0,1,0,0,free,free_pool
0,11,0,1,0,0,free,free_pool
0,12,0,1,0,0,free,free_pool
0,13,0,1,0,0,free,free_pool
0,14,0,1,0,0,free,free_pool
0,15,0,1,0,0,free,free_pool
0,16,0,1,0,0,free,free_pool
0,17,0,1,0,0,free,free_pool
0,18,0,1,0,0,free,free_pool
0,19,0,1,0,0,free,free_pool
0,20,0,1,0,0,free,free_pool
0,21,0,1,0,0,free,free_pool
0,22,0,1,0,0,free,free_pool
0,23,0,1,0,0,free,free_pool
0,24,0,1,0,0,free,free_pool
0,25,0,1,0,0,free,free_pool
0,26,0,1,0,0,free,free_pool
0,27,0,1,0,0,free,free_pool
0,28,0,1,0,0,free,free_pool
0,29,1,1,3,1,formation,depression_consumption
0,30,0,1,0,0,free,free_pool
0,31,0,1,0,0,free,free_pool
1,0,0,2,1,1,formation,depression_consumption
1,1,0,2,0,0,free,free_pool
1,2,0,2,0,0,free,free_pool
1,3,0,2,0,0,free,free_pool
1,4,0,2,0,0,free,free_pool
1,5,0,2,0,0,free,free_pool
1,6,0,2,0,0,free,free_pool
1,7,0,2,0,0,free,free_pool
1,8,0,2,0,0,free,free_pool
1,9,0,2,0,0,free,free_pool
1,10,0,2,0,0,free,free_pool
1,11,0,2,0,0,free,free_pool
1,12,0,2,0,0,free,free_pool
1,13,0,2,0,0,free,free_pool
1,14,0,2,0,0,free,free_pool
1,15,0,2,0,0,free,free_pool
1,16,0,2,0,0,free,free_pool
1,17,0,2,0,0,free,free_pool
1,18,0,2,0,0,free,free_pool
1,19,0,2,0,0,free,free_pool
1,20,0,2,0,0,free,free_pool
1,21,0,2,0,0,free,free_pool
1,22,0,2,0,0,free,free_pool
1,23,0,2,0,0,free,free_pool
1,24,0,2,0,0,free,free_pool
1,25,0,2,0,0,free,free_pool
1,26,0,2,0,0,free,free_pool
1,27,0,2,0,0,free,free_pool
1,28,1,2,3,1,formation,depression_consumption
1,29,0,2,1,1,formation,depression_consumption
1,30,0,2,0,0,free,free_pool
1,31,0,2,0,0,free,free_pool
2,0,0,3,0,1,free,free_pool
2,1,0,3,0,0,free,free_pool
2,2,0,3,0,0,free,free_pool
2,3,0,3,0,0,free,free_pool
2,4,0,3,0,0,free,free_pool
2,5,0,3,0,0,free,free_pool
2,6,0,3,0,0,free,free_pool
2,7,0,3,0,0,free,free_pool
2,8,0,3,0,0,free,free_pool
2,9,0,3,0,0,free,free_pool
2,10,0,3,0,0,free,free_pool
2,11,0,3,0,0,free,free_pool
2,12,0,3,0,0,free,free_pool
2,13,0,3,0,0,free,free_pool
2,14,0,3,0,0,free,free_pool
2,15,0,3,0,0,free,free_pool
2,16,0,3,0,0,free,free_pool
2,17,0,3,0,0,free,free_pool
2,18,0,3,0,0,free,free_pool
2,19,0,3,0,0,free,free_pool
2,20,0,3,0,0,free,free_pool
2,21,0,3,0,0,free,free_pool
2,22,0,3,0,0,free,free_pool
2,23,0,3,0,0,free,free_pool
2,24,0,3,0,0,free,free_pool
2,25,0,3,0,0,free,free_pool
2,26,0,3,0,0,free,free_pool
2,27,1,3,3,1,formation,depression_consumption
2,28,0,3,1,1,formation,depression_consumption
2,29,0,3,0,1,free,free_pool
2,30,0,3,0,0,free,free_pool
2,31,0,3,0,0,free,free_pool
3,0,0,4,0,0,free,free_pool
3,1,0,4,0,0,free,free_pool
3,2,0,4,0,0,free,free_pool
3,3,0,4,0,0,free,free_pool
3,4,0,4,0,0,free,free_pool
3,5,0,4,0,0,free,free_pool
3,6,0,4,0,0,free,free_pool
3,7,0,4,0,0,free,free_pool
3,8,0,4,0,0,free,free_pool
3,9,0,4,0,0,free,free_pool
3,10,0,4,0,0,free,free_pool
3,11,0,4,0,0,free,free_pool
3,12,0,4,0,0,free,free_pool
3,13,0,4,0,0,free,free_pool
3,14,0,4,0,0,free,free_pool
3,15,0,4,0,0,free,free_pool
3,16,0,4,0,0,free,free_pool
3,17,0,4,0,0,free,free_pool
3,18,0,4,0,0,free,free_pool
3,19,0,4,0,0,free,free_pool
3,20,0,4,0,0,free,free_pool
3,21,0,4,0,0,free,free_pool
3,22,0,4,0,0,free,free_pool
3,23,0,4,0,0,free,free_pool
3,24,0,4,0,0,free,free_pool
3,25,0,4,0,0,free,free_pool
3,26,1,4,3,1,formation,depression_consumption
3,27,0,4,1,1,formation,depression_consumption
3,28,0,4,0,1,free,free_pool
3,29,0,4,0,0,free,free_pool
3,30,0,4,0,0,free,free_pool
3,31,0,4,0,0,free,free_pool
4,0,0,5,0,0,free,free_pool
4,1,0,5,0,0,free,free_pool
4,2,0,5,0,0,free,free_pool
4,3,0,5,0,0,free,free_pool
4,4,0,5,0,0,free,free_pool
4,5,0,5,0,0,free,free_pool
4,6,0,5,0,0,free,free_pool
4,7,0,5,0,0,free,free_pool
4,8,0,5,0,0,free,free_pool
4,9,0,5,0,0,free,free_pool
4,10,0,5,0,0,free,free_pool
4,11,0,5,0,0,free,free_pool
4,12,0,5,0,0,free,free_pool
4,13,0,5,0,0,free,free_pool
4,14,0,5,0,0,free,free_pool
4,15,0,5,0,0,free,free_pool
4,16,0,5,0,0,free,free_pool
4,17,0,5,0,0,free,free_pool
4,18,0,5,0,0,free,free_pool
4,19,0,5,0,0,free,free_pool
4,20,0,5,0,0,free,free_pool
4,21,0,5,0,0,free,free_pool
4,22,0,5,0,0,free,free_pool
4,23,0,5,0,0,free,free_pool
4,24,0,5,0,0,free,free_pool
4,25,1,5,3,1,formation,depression_consumption
4,26,0,5,1,1,formation,depression_consumption
4,27,0,5,0,1,free,free_pool
4,28,0,5,0,0,free,free_pool
4,29,0,5,0,0,free,free_pool
4,30,0,5,0,0,free,free_pool
4,31,0,5,0,0,free,free_pool
